treatment_variant,treatment_role,treatment_family,outcome,horizon,beta,se,lower95,upper95,n,spec_name,shock_column,shock_scale,response_type
baseline,core,headline,other_component_qoq,8,-132.3438591411037,47.33210674993811,-225.1147883709824,-39.572929911225,111,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,accounting_deposit_substitution_qoq,0,-0.00042052576241369266,0.7559623311958235,-1.4821066949062276,1.4812656433814002,92,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,accounting_deposit_substitution_qoq,1,-2.64958750111633,3.6433301431509624,-9.790514581692216,4.491339579459556,91,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,accounting_deposit_substitution_qoq,2,-4.695434313573129,3.4573856279955084,-11.471910144444326,2.0810415172980674,90,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,accounting_deposit_substitution_qoq,3,-8.62854899466249,5.528669814591546,-19.464741831261918,2.2076438419369406,89,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,accounting_deposit_substitution_qoq,4,-3.5226467819860914,3.1958495152946997,-9.786511831963702,2.74121826799152,88,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,accounting_deposit_substitution_qoq,5,0.6785994476230139,2.2974061622266584,-3.824316630341236,5.181515525587264,87,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,accounting_deposit_substitution_qoq,6,0.3692900966714485,2.5749809807894297,-4.677672625675834,5.41625281901873,86,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,accounting_deposit_substitution_qoq,7,-5.374725830739363,3.334987038307898,-11.911300425822844,1.1618487643441169,85,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,accounting_deposit_substitution_qoq,8,-6.484720200728153,3.556085487517861,-13.45464775626316,0.48520735480685495,84,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,accounting_bank_balance_sheet_qoq,0,-22.24398819283851,10.003800492434987,-41.85143715801108,-2.6365392276659385,92,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
